+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
|   469 |   0 |  346 |   0 | 123 |   0 | GET    | /api/isu                                            | 0.064 | 1.004 | 159.103 | 0.339 | 1.000 | 1.000 | 1.004 |  0.356 |      0.000 |   4606.000 |   930857.000 |   1984.770 |
|    90 |   0 |   15 |   0 |  75 |   0 | GET    | /api/trend                                          | 0.044 | 1.005 |  80.033 | 0.889 | 1.000 | 1.004 | 1.005 |  0.283 |      0.000 |   7170.000 |    78736.000 |    874.844 |
|    68 |   0 |   61 |   0 |   7 |   0 | GET    | /api/condition/203acae5-737d-4196-8838-f2903cc8bc68 | 0.008 | 1.000 |  17.308 | 0.255 | 0.500 | 0.856 | 1.000 |  0.240 |      0.000 |   6653.000 |   366127.000 |   5384.221 |
|    50 |   0 |   49 |   0 |   1 |   0 | GET    | /api/condition/62d8b067-94c1-451b-a888-bbb6f97ac6a5 | 0.036 | 1.000 |  13.292 | 0.266 | 0.532 | 0.592 | 1.000 |  0.213 |      0.000 |   6823.000 |   300899.000 |   6017.980 |
|    63 |   0 |   63 |   0 |   0 |   0 | GET    | /api/condition/081ab93e-a028-43c2-9bfa-ea260bdfd234 | 0.008 | 0.936 |  11.064 | 0.176 | 0.312 | 0.368 | 0.936 |  0.163 |      3.000 |   6223.000 |   321185.000 |   5098.175 |
|  1459 |   0 | 1430 |   0 |  29 |   0 | POST   | /api/condition/5ce5e267-9966-40b1-80b3-bd265e904315 | 0.004 | 0.104 |  10.180 | 0.007 | 0.012 | 0.040 | 0.100 |  0.018 |      0.000 |      0.000 |        0.000 |      0.000 |
|  1462 |   0 | 1434 |   0 |  28 |   0 | POST   | /api/condition/e436399a-e483-4f34-8317-0226fcd07243 | 0.004 | 0.104 |   9.781 | 0.007 | 0.012 | 0.040 | 0.100 |  0.018 |      0.000 |      0.000 |        0.000 |      0.000 |
|    47 |   0 |   47 |   0 |   0 |   0 | GET    | /api/condition/5b3d15ef-c60f-40a3-8c94-33be5e0a5841 | 0.016 | 0.624 |   9.625 | 0.205 | 0.412 | 0.480 | 0.624 |  0.143 |      3.000 |   6283.000 |   285565.000 |   6075.851 |
|  1460 |   0 | 1427 |   0 |  33 |   0 | POST   | /api/condition/162d294b-5ad7-4a7f-9a80-667b64b4d41d | 0.000 | 0.104 |   9.593 | 0.007 | 0.008 | 0.040 | 0.100 |  0.018 |      0.000 |      0.000 |        0.000 |      0.000 |
