+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 74873 |   0 | 74061 |   0 | 812 |   0 | POST   | /api/condition/\w+                                  | 0.012 | 0.104 | 387.974 | 0.005 | 0.008 | 0.036 | 0.100 |  0.016 |     0.000 |     14.000 |       70.000 |      0.001 |
|  1816 |   0 |  1448 |   0 | 368 |   0 | GET    | /api/condition/\w+                                  | 0.024 | 1.000 | 178.152 | 0.098 | 0.188 | 0.224 | 0.324 |  0.076 |     0.000 |   7123.000 |  8169405.000 |   4498.571 |
|   488 |   0 |   357 |   0 | 131 |   0 | GET    | /api/isu                                            | 0.048 | 1.004 | 158.364 | 0.325 | 1.000 | 1.000 | 1.004 |  0.355 |     0.000 |   4666.000 |   929792.000 |   1905.311 |
|  3554 |   0 |  2967 |   0 | 587 |   0 | GET    | /api/isu/\w+                                        | 0.052 | 0.832 | 157.497 | 0.044 | 0.112 | 0.148 | 0.240 |  0.054 |     0.000 | 135259.000 | 61825552.000 |  17396.047 |
|    83 |   0 |    11 |   0 |  72 |   0 | GET    | /api/trend                                          | 0.044 | 1.004 |  74.659 | 0.900 | 1.000 | 1.004 | 1.004 |  0.275 |     0.000 |   7249.000 |    52812.000 |    636.289 |
|   656 |   0 |   224 |   0 | 432 |   0 | POST   | /api/auth                                           | 0.020 | 0.352 |   8.072 | 0.012 | 0.024 | 0.060 | 0.132 |  0.027 |     0.000 |     19.000 |     4968.000 |      7.573 |
|    55 |   0 |    51 |   0 |   4 |   0 | POST   | /api/isu                                            | 0.004 | 0.200 |   3.960 | 0.072 | 0.108 | 0.124 | 0.200 |  0.032 |    15.000 |    148.000 |     7061.000 |    128.382 |
|   168 |   0 |    62 |   0 | 106 |   0 | GET    | /api/user/me                                        | 0.000 | 0.144 |   1.028 | 0.006 | 0.016 | 0.032 | 0.072 |  0.016 |    21.000 |     42.000 |     4508.000 |     26.833 |
|   110 |   0 |    54 |   0 |  56 |   0 | POST   | /api/signout                                        | 0.004 | 0.084 |   0.992 | 0.009 | 0.028 | 0.048 | 0.076 |  0.015 |    21.000 |     21.000 |     1176.000 |     10.691 |
|   174 |   0 |    85 |  89 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.016 |   0.376 | 0.002 | 0.004 | 0.008 | 0.016 |  0.003 |     0.000 | 743417.000 | 63190445.000 | 363163.477 |
|     1 |   0 |     1 |   0 |   0 |   0 | POST   | /initialize                                         | 0.308 | 0.308 |   0.308 | 0.308 | 0.308 | 0.308 | 0.308 |  0.000 |    23.000 |     23.000 |       23.000 |     23.000 |
|   174 |   0 |    85 |  89 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.012 |   0.300 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |     0.000 |    592.000 |    50320.000 |    289.195 |
|   174 |   0 |    85 |  89 |   0 |   0 | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.008 |   0.256 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |     0.000 |  26667.000 |  2266695.000 |  13026.983 |
|   174 |   0 |    85 |  89 |   0 |   0 | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.008 |   0.204 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |  19066.000 |  1620610.000 |   9313.851 |
|   174 |   0 |    85 |  89 |   0 |   0 | GET    | /assets/logo_white.svg                              | 0.000 | 0.008 |   0.196 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |     0.000 |   3285.000 |   279225.000 |   1604.741 |
|    85 |   0 |    84 |   1 |   0 |   0 | GET    | /assets/logo_orange.svg                             | 0.000 | 0.008 |   0.156 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |  3288.000 |   3288.000 |   276192.000 |   3249.318 |
|   204 |   0 |   147 |  57 |   0 |   0 | GET    | /                                                   | 0.000 | 0.008 |   0.144 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |    77616.000 |    380.471 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |      528.000 |    176.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |      528.000 |    176.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |      528.000 |    176.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      528.000 |    176.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      528.000 |    176.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/cab99f63-bb3a-4648-b6df-376396f2c7ab           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/cab99f63-bb3a-4648-b6df-376396f2c7ab/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /isu/cab99f63-bb3a-4648-b6df-376396f2c7ab/condition | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      528.000 |    176.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /register                                           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      528.000 |    176.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      528.000 |    528.000 |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
