+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| 75669 |   0 | 75569 |   0 | 100 |   0 | POST   | /api/condition/.{36}         | 0.000 | 0.108 | 525.446 | 0.007 | 0.020 | 0.044 | 0.068 |  0.014 |     0.000 |     14.000 |        56.000 |      0.001 |
|   306 |   0 |   104 |   0 | 202 |   0 | GET    | /api/trend                   | 0.044 | 1.004 | 276.648 | 0.904 | 1.000 | 1.001 | 1.004 |  0.186 |     0.000 |   8208.000 |    804618.000 |   2629.471 |
| 10225 |   0 | 10027 |   0 | 198 |   0 | GET    | /api/isu/.{36}/icon          | 0.040 | 0.256 | 265.967 | 0.026 | 0.048 | 0.060 | 0.088 |  0.018 |     0.000 | 135259.000 | 255076144.000 |  24946.322 |
|  4728 |   0 |  4268 |   0 | 460 |   0 | GET    | /api/condition/.{36}         | 0.012 | 0.288 | 190.433 | 0.040 | 0.076 | 0.088 | 0.120 |  0.026 |     0.000 |   7243.000 |  23587934.000 |   4988.988 |
|  1458 |   0 |  1392 |   0 |  66 |   0 | GET    | /api/isu                     | 0.084 | 0.204 |  57.532 | 0.039 | 0.068 | 0.080 | 0.112 |  0.022 |     3.000 |   4612.000 |   4303825.000 |   2951.869 |
|  1315 |   0 |   989 |   0 | 326 |   0 | GET    | /api/isu/.{36}/graph         | 0.016 | 0.188 |  42.405 | 0.032 | 0.064 | 0.072 | 0.096 |  0.022 |     0.000 |   8239.000 |   4798856.000 |   3649.320 |
|  1574 |   0 |  1376 |   0 | 198 |   0 | GET    | /isu/.{36}                   | 0.028 | 0.140 |  33.088 | 0.021 | 0.040 | 0.052 | 0.080 |  0.016 |    14.000 |    528.000 |    193361.000 |    122.847 |
|  1004 |   0 |   476 |   0 | 528 |   0 | POST   | /api/auth                    | 0.004 | 0.096 |  10.629 | 0.011 | 0.020 | 0.028 | 0.056 |  0.010 |     0.000 |     19.000 |      6072.000 |      6.048 |
|   612 |   0 |   278 |   0 | 334 |   0 | GET    | /api/user/me                 | 0.000 | 0.088 |   3.896 | 0.006 | 0.016 | 0.024 | 0.040 |  0.009 |    21.000 |     43.000 |     17609.000 |     28.773 |
|    55 |   0 |    51 |   0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.120 |   3.480 | 0.063 | 0.072 | 0.104 | 0.120 |  0.020 |    15.000 |    148.000 |      7033.000 |    127.873 |
|   338 |   0 |   270 |   0 |  68 |   0 | POST   | /api/signout                 | 0.004 | 0.064 |   3.424 | 0.010 | 0.024 | 0.032 | 0.052 |  0.010 |    21.000 |     21.000 |      1428.000 |      4.225 |
|   409 |   0 |   301 | 108 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.016 |   1.332 | 0.003 | 0.008 | 0.008 | 0.012 |  0.003 |     0.000 | 743417.000 | 223768517.000 | 547111.289 |
|   655 |   0 |   579 |  76 |   0 |   0 | GET    | /                            | 0.000 | 0.020 |   1.196 | 0.002 | 0.004 | 0.008 | 0.008 |  0.003 |     0.000 |    528.000 |    305712.000 |    466.736 |
|   409 |   0 |   301 | 108 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.016 |   1.160 | 0.003 | 0.008 | 0.008 | 0.012 |  0.003 |     0.000 |    592.000 |    178192.000 |    435.677 |
|   409 |   0 |   301 | 108 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.020 |   1.116 | 0.003 | 0.008 | 0.008 | 0.012 |  0.003 |     0.000 |  26667.000 |   8026767.000 |  19625.347 |
|   409 |   0 |   301 | 108 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.004 | 0.016 |   0.988 | 0.002 | 0.004 | 0.008 | 0.012 |  0.003 |     0.000 |   3285.000 |    988785.000 |   2417.567 |
|   409 |   0 |   301 | 108 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.016 |   0.944 | 0.002 | 0.004 | 0.008 | 0.008 |  0.003 |     0.000 |  19066.000 |   5738866.000 |  14031.457 |
|   308 |   0 |   300 |   8 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.000 | 0.016 |   0.788 | 0.003 | 0.008 | 0.008 | 0.012 |  0.003 |  3288.000 |   3288.000 |    986400.000 |   3202.597 |
|     1 |   0 |     1 |   0 |   0 |   0 | POST   | /initialize                  | 0.380 | 0.380 |   0.380 | 0.380 | 0.380 | 0.380 | 0.380 |  0.000 |    23.000 |     23.000 |        23.000 |     23.000 |
|    18 |   0 |     6 |  12 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.008 | 0.000 | 0.004 | 0.004 | 0.004 |  0.001 |     0.000 |    528.000 |      3168.000 |    176.000 |
|     6 |   0 |     6 |   0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      3168.000 |    528.000 |
|     3 |   0 |     1 |   2 |   0 |   0 | GET    | /register                    | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |       528.000 |    176.000 |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
