+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
|   536 |   0 |   315 |   0 | 221 |   0 | GET    | /api/trend                   | 0.036 | 1.004 | 407.909 | 0.761 | 1.000 | 1.000 | 1.004 |  0.277 |     0.000 |   8212.000 |   2503351.000 |   4670.431 |
| 76036 |   0 | 76013 |   0 |  23 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.100 | 366.956 | 0.005 | 0.012 | 0.032 | 0.056 |  0.012 |     0.000 |     14.000 |        84.000 |      0.001 |
| 16704 |   0 | 16461 |   0 | 243 |   0 | GET    | /api/isu/.{36}/icon          | 0.000 | 0.156 | 216.970 | 0.013 | 0.024 | 0.032 | 0.048 |  0.011 |    14.000 | 135259.000 | 429641446.000 |  25720.872 |
|  5811 |   0 |  5240 |   0 | 571 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.216 | 177.730 | 0.031 | 0.064 | 0.080 | 0.104 |  0.024 |     0.000 |   7543.000 |  28176154.000 |   4848.762 |
|  2324 |   0 |  2241 |   0 |  83 |   0 | GET    | /api/isu                     | 0.016 | 0.128 |  71.094 | 0.031 | 0.052 | 0.060 | 0.080 |  0.017 |     0.000 |   4717.000 |   7154895.000 |   3078.698 |
|  1785 |   0 |  1379 |   0 | 406 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.144 |  51.177 | 0.029 | 0.064 | 0.076 | 0.104 |  0.024 |     0.000 |   7865.000 |   6662109.000 |   3732.274 |
|  2450 |   0 |  2207 |   0 | 243 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.084 |  25.925 | 0.011 | 0.020 | 0.028 | 0.048 |  0.009 |    14.000 |    528.000 |    312809.000 |    127.677 |
|  1314 |   0 |   666 |   0 | 648 |   0 | POST   | /api/auth                    | 0.012 | 0.088 |   8.600 | 0.007 | 0.012 | 0.016 | 0.032 |  0.006 |     0.000 |     19.000 |      7452.000 |      5.671 |
|   917 |   0 |   423 |   0 | 494 |   0 | GET    | /api/user/me                 | 0.028 | 0.064 |   3.324 | 0.004 | 0.008 | 0.012 | 0.024 |  0.006 |    21.000 |     46.000 |     26469.000 |     28.865 |
|    55 |   0 |    51 |   0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.112 |   3.320 | 0.060 | 0.068 | 0.080 | 0.112 |  0.018 |    15.000 |    157.000 |      7163.000 |    130.236 |
|   498 |   0 |   415 |   0 |  83 |   0 | POST   | /api/signout                 | 0.000 | 0.044 |   2.696 | 0.005 | 0.012 | 0.016 | 0.024 |  0.006 |    21.000 |     21.000 |      1743.000 |      3.500 |
|   654 |   0 |   452 | 202 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.000 | 0.016 |   1.756 | 0.003 | 0.004 | 0.008 | 0.012 |  0.003 |     0.000 | 743417.000 | 336024484.000 | 513798.905 |
|  1045 |   0 |   875 | 170 |   0 |   0 | GET    | /                            | 0.008 | 0.012 |   1.372 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |   528.000 |    528.000 |    462000.000 |    442.105 |
|   654 |   0 |   456 | 198 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.008 | 0.020 |   1.172 | 0.002 | 0.004 | 0.008 | 0.008 |  0.003 |   592.000 |    592.000 |    269952.000 |    412.771 |
|   654 |   0 |   456 | 198 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.020 |   1.092 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |     0.000 |  26667.000 |  12160152.000 |  18593.505 |
|   654 |   0 |   454 | 200 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.008 | 0.012 |   0.988 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |     0.000 |  19066.000 |   8655964.000 |  13235.419 |
|   654 |   0 |   454 | 200 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.004 | 0.020 |   0.960 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |  3285.000 |   3285.000 |   1491390.000 |   2280.413 |
|   538 |   0 |   450 |  88 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.004 | 0.012 |   0.956 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |  3288.000 |   3288.000 |   1479600.000 |   2750.186 |
|     1 |   0 |     1 |   0 |   0 |   0 | POST   | /initialize                  | 0.352 | 0.352 |   0.352 | 0.352 | 0.352 | 0.352 | 0.352 |  0.000 |    23.000 |     23.000 |        23.000 |     23.000 |
|     6 |   0 |     6 |   0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.004 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      3168.000 |    528.000 |
|    18 |   0 |     9 |   9 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      4752.000 |    264.000 |
|     3 |   0 |     2 |   1 |   0 |   0 | GET    | /register                    | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      1056.000 |    352.000 |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
