+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|  1135 |   0 |  1072 |   0 |  63 |   0 | GET    | /api/trend                   | 0.012 | 1.004 | 590.312 | 0.520 | 0.892 | 1.000 | 1.000 |  0.243 |      0.000 |   9072.000 |   9055147.000 |   7978.103 |
| 88408 |   0 | 88356 |   0 |  52 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.104 | 402.092 | 0.005 | 0.016 | 0.032 | 0.052 |  0.011 |      0.000 |     14.000 |        84.000 |      0.001 |
| 23440 |   0 | 23181 |   0 | 259 |   0 | GET    | /api/isu/.{36}/icon          | 0.000 | 0.428 | 268.664 | 0.011 | 0.024 | 0.028 | 0.048 |  0.010 |      0.000 | 135259.000 | 625966232.000 |  26705.044 |
|  7599 |   0 |  6992 |   0 | 607 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.220 | 207.704 | 0.027 | 0.056 | 0.068 | 0.096 |  0.021 |      0.000 |   7423.000 |  36431666.000 |   4794.271 |
|  3599 |   0 |  3511 |   0 |  88 |   0 | GET    | /api/isu                     | 0.008 | 0.196 |  93.740 | 0.026 | 0.044 | 0.052 | 0.072 |  0.015 |      0.000 |   4608.000 |   9922007.000 |   2756.879 |
|  2871 |   0 |  2439 |   0 | 432 |   0 | GET    | /api/isu/.{36}/graph         | 0.008 | 0.148 |  79.184 | 0.028 | 0.056 | 0.072 | 0.092 |  0.021 |      0.000 |   7535.000 |  12005293.000 |   4181.572 |
|  3641 |   0 |  3383 |   0 | 258 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.104 |  34.140 | 0.009 | 0.020 | 0.024 | 0.040 |  0.008 |     14.000 |    528.000 |    479044.000 |    131.569 |
|  1651 |   0 |   963 |   0 | 688 |   0 | POST   | /api/auth                    | 0.000 | 0.068 |   9.912 | 0.006 | 0.012 | 0.016 | 0.028 |  0.006 |      0.000 |     19.000 |      7912.000 |      4.792 |
|  1483 |   0 |   705 |   0 | 778 |   0 | GET    | /api/user/me                 | 0.000 | 0.100 |   4.676 | 0.003 | 0.008 | 0.012 | 0.020 |  0.006 |     21.000 |     44.000 |     43880.000 |     29.589 |
|    67 |   0 |    63 |   0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.176 |   4.416 | 0.066 | 0.080 | 0.120 | 0.176 |  0.026 |     15.000 |    154.000 |      8855.000 |    132.164 |
|   782 |   0 |   694 |   0 |  88 |   0 | POST   | /api/signout                 | 0.000 | 0.040 |   4.052 | 0.005 | 0.012 | 0.016 | 0.028 |  0.005 |      0.000 |     21.000 |      1848.000 |      2.363 |
|  1258 |   0 |   751 | 507 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.016 |   2.976 | 0.002 | 0.004 | 0.008 | 0.008 |  0.003 | 743417.000 | 743417.000 | 558306167.000 | 443804.584 |
|  1931 |   0 |  1454 | 477 |   0 |   0 | GET    | /                            | 0.000 | 0.024 |   2.276 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |    528.000 |    528.000 |    767712.000 |    397.572 |
|  1258 |   0 |   747 | 511 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.016 |   2.044 | 0.002 | 0.004 | 0.004 | 0.012 |  0.002 |    592.000 |    592.000 |    442224.000 |    351.529 |
|  1258 |   0 |   750 | 508 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.012 |   1.952 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |  26667.000 |  26667.000 |  20000250.000 |  15898.450 |
|  1258 |   0 |   758 | 500 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.016 |   1.824 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |  19066.000 |  19066.000 |  14452028.000 |  11488.099 |
|  1258 |   0 |   753 | 505 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.000 | 0.012 |   1.764 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |   3285.000 |   3285.000 |   2473605.000 |   1966.300 |
