+-------+-----+-------+-----+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 81222 |   0 | 80100 |   0 | 1122 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.104 | 407.727 | 0.005 | 0.008 | 0.032 | 0.100 |  0.016 |      0.000 |     14.000 |        56.000 |      0.001 |
|   648 |   0 |   441 |   0 |  207 |   0 | GET    | /api/trend                   | 0.004 | 1.004 | 329.932 | 0.509 | 1.000 | 1.000 | 1.004 |  0.380 |      0.000 |   8330.000 |   3450914.000 |   5325.485 |
|  4037 |   0 |  3668 |   0 |  369 |   0 | GET    | /api/condition/.{36}         | 0.004 | 1.000 | 249.536 | 0.062 | 0.140 | 0.208 | 0.472 |  0.095 |      0.000 |   7243.000 |  20718455.000 |   5132.141 |
|  6146 |   0 |  5981 |   0 |  165 |   0 | GET    | /api/isu/.{36}/icon          | 0.004 | 1.036 | 246.908 | 0.040 | 0.092 | 0.152 | 0.448 |  0.090 |      0.000 | 135259.000 | 168972934.000 |  27493.156 |
|  1228 |   0 |   972 |   0 |  256 |   0 | GET    | /api/isu/.{36}/graph         | 0.020 | 0.828 |  60.325 | 0.049 | 0.108 | 0.144 | 0.328 |  0.070 |      0.000 |   7895.000 |   4808082.000 |   3915.376 |
|  1066 |   0 |  1013 |   0 |   53 |   0 | GET    | /api/isu                     | 0.008 | 1.004 |  52.073 | 0.049 | 0.100 | 0.156 | 0.568 |  0.089 |      3.000 |   4656.000 |   2479260.000 |   2325.760 |
|  1155 |   0 |  1000 |   0 |  155 |   0 | GET    | /isu/.{36}                   | 0.004 | 1.000 |  39.200 | 0.034 | 0.080 | 0.124 | 0.420 |  0.086 |     14.000 |    528.000 |    142577.000 |    123.443 |
|   768 |   0 |   360 |   0 |  408 |   0 | POST   | /api/auth                    | 0.004 | 0.760 |  11.724 | 0.015 | 0.032 | 0.068 | 0.220 |  0.048 |      0.000 |     19.000 |      4692.000 |      6.109 |
|   452 |   0 |   205 |   0 |  247 |   0 | GET    | /api/user/me                 | 0.104 | 1.000 |   8.196 | 0.018 | 0.032 | 0.068 | 0.480 |  0.084 |     21.000 |     44.000 |     12612.000 |     27.903 |
|    60 |   0 |    56 |   0 |    4 |   0 | POST   | /api/isu                     | 0.004 | 0.448 |   4.712 | 0.079 | 0.088 | 0.300 | 0.448 |  0.078 |     15.000 |    163.000 |      7802.000 |    130.033 |
|   250 |   0 |   196 |   0 |   54 |   0 | POST   | /api/signout                 | 0.004 | 0.256 |   3.004 | 0.012 | 0.028 | 0.048 | 0.132 |  0.028 |      0.000 |     21.000 |      1113.000 |      4.452 |
|   736 |   0 |   252 | 484 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.000 | 0.008 |   1.024 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 | 743417.000 | 743417.000 | 187341084.000 | 254539.516 |
|   736 |   0 |   250 | 486 |    0 |   0 | GET    | /assets/index.23dac98b.js    | 0.000 | 0.012 |   0.764 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |  26667.000 |  26667.000 |   6666750.000 |   9058.084 |
|   736 |   0 |   248 | 488 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.008 |   0.732 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |    592.000 |    592.000 |    146816.000 |    199.478 |
|   736 |   0 |   244 | 492 |    0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.008 |   0.732 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |  19066.000 |  19066.000 |   4652104.000 |   6320.793 |
|   911 |   0 |   451 | 460 |    0 |   0 | GET    | /                            | 0.000 | 0.008 |   0.636 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    528.000 |    528.000 |    238128.000 |    261.392 |
|   736 |   0 |   252 | 484 |    0 |   0 | GET    | /assets/logo_white.svg       | 0.000 | 0.012 |   0.516 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |   3285.000 |   3285.000 |    827820.000 |   1124.755 |
|   650 |   0 |   243 | 407 |    0 |   0 | GET    | /assets/logo_orange.svg      | 0.000 | 0.008 |   0.500 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |   3288.000 |   3288.000 |    798984.000 |   1229.206 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                  | 0.308 | 0.308 |   0.308 | 0.308 | 0.308 | 0.308 | 0.308 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|    18 |   0 |     9 |   9 |    0 |   0 | GET    | /isu/.{36}/condition         | 0.004 | 0.004 |   0.008 | 0.000 | 0.004 | 0.004 | 0.004 |  0.001 |    528.000 |    528.000 |      4752.000 |    264.000 |
|     6 |   0 |     6 |   0 |    0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |      3168.000 |    528.000 |
|     3 |   0 |     1 |   2 |    0 |   0 | GET    | /register                    | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |    528.000 |       528.000 |    176.000 |
+-------+-----+-------+-----+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
