+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 76153 |   0 | 76144 |   0 |   9 |   0 | POST   | /api/condition/.{36}         | 0.008 | 0.100 | 326.152 | 0.004 | 0.012 | 0.028 | 0.044 |  0.009 |      0.000 |     14.000 |        84.000 |      0.001 |
| 34756 |   0 | 34474 |   0 | 282 |   0 | GET    | /api/isu/.{36}/icon          | 0.004 | 0.048 | 235.036 | 0.007 | 0.012 | 0.016 | 0.020 |  0.004 |     14.000 | 135259.000 | 888789018.000 |  25572.247 |
|  8149 |   0 |  7488 |   0 | 661 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.084 | 120.112 | 0.015 | 0.028 | 0.036 | 0.048 |  0.011 |      0.000 |   7243.000 |  37153434.000 |   4559.263 |
|  4630 |   0 |  4533 |   0 |  97 |   0 | GET    | /api/isu                     | 0.004 | 0.072 |  89.776 | 0.019 | 0.032 | 0.036 | 0.048 |  0.009 |      0.000 |   4592.000 |  14886947.000 |   3215.323 |
|  4357 |   0 |  3887 |   0 | 470 |   0 | GET    | /api/isu/.{36}/graph         | 0.008 | 0.076 |  75.008 | 0.017 | 0.032 | 0.040 | 0.052 |  0.011 |     14.000 |   8259.000 |  19194517.000 |   4405.443 |
|  4687 |   0 |  4405 |   0 | 282 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.032 |  23.852 | 0.005 | 0.008 | 0.012 | 0.016 |  0.004 |     14.000 |    528.000 |    610616.000 |    130.279 |
|  1936 |   0 |  1184 |   0 | 752 |   0 | POST   | /api/auth                    | 0.004 | 0.028 |   8.416 | 0.004 | 0.008 | 0.012 | 0.016 |  0.003 |      0.000 |     19.000 |      8648.000 |      4.467 |
|   940 |   0 |   940 |   0 |   0 |   0 | GET    | /api/trend                   | 0.004 | 0.036 |   5.948 | 0.006 | 0.012 | 0.012 | 0.020 |  0.004 |   3993.000 |  13353.000 |  11959172.000 |  12722.523 |
|  1888 |   0 |   902 |   0 | 986 |   0 | GET    | /api/user/me                 | 0.000 | 0.032 |   4.192 | 0.002 | 0.004 | 0.008 | 0.012 |  0.003 |     21.000 |     44.000 |     54011.000 |     28.608 |
|    55 |   0 |    51 |   0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.112 |   3.236 | 0.059 | 0.068 | 0.072 | 0.112 |  0.018 |     15.000 |    148.000 |      7054.000 |    128.255 |
|   990 |   0 |   894 |   0 |  96 |   0 | POST   | /api/signout                 | 0.000 | 0.020 |   3.228 | 0.003 | 0.008 | 0.008 | 0.016 |  0.003 |      0.000 |     21.000 |      2016.000 |      2.036 |
|  1071 |   0 |   929 | 142 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.016 |   3.140 | 0.003 | 0.004 | 0.008 | 0.012 |  0.003 | 743417.000 | 743417.000 | 690634393.000 | 644850.040 |
|  1941 |   0 |  1833 | 108 |   0 |   0 | GET    | /                            | 0.004 | 0.020 |   2.376 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |    528.000 |    528.000 |    967824.000 |    498.621 |
|  1071 |   0 |   929 | 142 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.016 |   1.988 | 0.002 | 0.004 | 0.008 | 0.008 |  0.002 |    592.000 |    592.000 |    549968.000 |    513.509 |
|  1071 |   0 |   930 | 141 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.012 |   1.848 | 0.002 | 0.004 | 0.004 | 0.008 |  0.002 |  26667.000 |  26667.000 |  24800310.000 |  23156.218 |
