+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 111093 |   0 | 110297 |    0 | 796 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.120 | 847.006 | 0.008 | 0.020 | 0.044 | 0.092 |  0.016 |      0.000 |     14.000 |       126.000 |      0.001 |
|  23733 |   0 |  23509 |    0 | 224 |   0 | GET    | /api/isu/.{36}/icon          | 0.024 | 0.348 | 392.836 | 0.017 | 0.036 | 0.048 | 0.088 |  0.018 |      0.000 | 135259.000 | 627593032.000 |  26443.898 |
|   8410 |   0 |   7893 |    0 | 517 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.340 | 257.493 | 0.031 | 0.068 | 0.084 | 0.124 |  0.028 |      0.000 |   6963.000 |  41393671.000 |   4921.959 |
|   3846 |   0 |   3772 |    0 |  74 |   0 | GET    | /api/isu                     | 0.004 | 0.328 | 119.705 | 0.031 | 0.060 | 0.072 | 0.108 |  0.023 |      0.000 |   4610.000 |   9948260.000 |   2586.651 |
|   2948 |   0 |   2580 |    0 | 368 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.216 |  87.935 | 0.030 | 0.064 | 0.080 | 0.116 |  0.025 |      0.000 |   7701.000 |  12357162.000 |   4191.710 |
|   3043 |   0 |   3043 |    0 |   0 |   0 | GET    | /api/trend                   | 0.004 | 0.440 |  71.273 | 0.023 | 0.044 | 0.064 | 0.116 |  0.024 |   3993.000 |  10887.000 |  27463751.000 |   9025.222 |
|   3750 |   0 |   3531 |    0 | 219 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.200 |  53.104 | 0.014 | 0.032 | 0.044 | 0.080 |  0.016 |     14.000 |    528.000 |    495943.000 |    132.251 |
|   1455 |   0 |    871 |    0 | 584 |   0 | POST   | /api/auth                    | 0.004 | 0.124 |  14.348 | 0.010 | 0.020 | 0.028 | 0.056 |  0.011 |      0.000 |     19.000 |      6716.000 |      4.616 |
|   3153 |   0 |    727 | 2426 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.044 |  12.536 | 0.004 | 0.008 | 0.012 | 0.020 |  0.005 | 743417.000 | 743417.000 | 540464159.000 | 171412.673 |
|   3773 |   0 |   1372 | 2401 |   0 |   0 | GET    | /                            | 0.004 | 0.044 |  12.348 | 0.003 | 0.008 | 0.012 | 0.020 |  0.004 |    528.000 |    528.000 |    724416.000 |    192.000 |
|   3153 |   0 |    722 | 2431 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.044 |  11.588 | 0.004 | 0.008 | 0.012 | 0.020 |  0.005 |    592.000 |    592.000 |    427424.000 |    135.561 |
|   3153 |   0 |    726 | 2427 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.044 |  11.441 | 0.004 | 0.008 | 0.012 | 0.020 |  0.004 |  19066.000 |  19066.000 |  13841916.000 |   4390.078 |
|   3045 |   0 |    720 | 2325 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.000 | 0.040 |  11.101 | 0.004 | 0.008 | 0.012 | 0.020 |  0.004 |   3288.000 |   3288.000 |   2367360.000 |    777.458 |
|   3153 |   0 |    724 | 2429 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.000 | 0.040 |  11.074 | 0.004 | 0.008 | 0.012 | 0.020 |  0.004 |   3285.000 |   3285.000 |   2378340.000 |    754.310 |
|   3153 |   0 |    717 | 2436 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.044 |  11.037 | 0.004 | 0.008 | 0.012 | 0.020 |  0.004 |  26667.000 |  26667.000 |  19120239.000 |   6064.142 |
|   1359 |   0 |    652 |    0 | 707 |   0 | GET    | /api/user/me                 | 0.024 | 0.100 |   8.456 | 0.006 | 0.016 | 0.024 | 0.048 |  0.010 |     21.000 |     44.000 |     39655.000 |     29.180 |
|     92 |   0 |     88 |    0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.352 |   6.840 | 0.074 | 0.104 | 0.124 | 0.352 |  0.038 |     15.000 |    152.000 |     12266.000 |    133.326 |
|    711 |   0 |    636 |    0 |  75 |   0 | POST   | /api/signout                 | 0.004 | 0.060 |   5.528 | 0.008 | 0.016 | 0.028 | 0.044 |  0.009 |      0.000 |     21.000 |      1575.000 |      2.215 |
|      1 |   0 |      1 |    0 |   0 |   0 | POST   | /initialize                  | 0.416 | 0.416 |   0.416 | 0.416 | 0.416 | 0.416 | 0.416 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|     18 |   0 |     10 |    8 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.008 | 0.000 | 0.004 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |      5280.000 |    293.333 |
|      6 |   0 |      6 |    0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |      3168.000 |    528.000 |
|      3 |   0 |      2 |    1 |   0 |   0 | GET    | /register                    | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |      1056.000 |    352.000 |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
