+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 135224 |   0 | 134623 |    0 | 601 |   0 | POST   | /api/condition/.{36}         | 0.012 | 0.108 | 940.068 | 0.007 | 0.016 | 0.028 | 0.076 |  0.013 |      0.000 |     14.000 |       196.000 |      0.001 |
|  24397 |   0 |  24195 |    0 | 202 |   0 | GET    | /api/isu/.{36}/icon          | 0.004 | 0.504 | 478.716 | 0.020 | 0.044 | 0.060 | 0.104 |  0.022 |      0.000 | 135259.000 | 619760404.000 |  25403.140 |
|   9606 |   0 |   9127 |    0 | 479 |   0 | GET    | /api/condition/.{36}         | 0.008 | 0.432 | 340.848 | 0.035 | 0.080 | 0.104 | 0.160 |  0.035 |      0.000 |   7243.000 |  48114416.000 |   5008.788 |
|   4326 |   0 |   4256 |    0 |  70 |   0 | GET    | /api/isu                     | 0.008 | 0.220 | 150.764 | 0.035 | 0.072 | 0.088 | 0.128 |  0.027 |      0.000 |   4620.000 |  10071183.000 |   2328.059 |
|   3407 |   0 |   3071 |    0 | 336 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.264 | 116.272 | 0.034 | 0.072 | 0.092 | 0.140 |  0.030 |      0.000 |   7515.000 |  14564159.000 |   4274.775 |
|   5545 |   0 |   5545 |    0 |   0 |   0 | GET    | /api/trend                   | 0.004 | 0.384 |  91.688 | 0.017 | 0.036 | 0.048 | 0.096 |  0.021 |   3993.000 |  12263.000 |  54533310.000 |   9834.682 |
|   4129 |   0 |   3924 |    0 | 205 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.212 |  72.612 | 0.018 | 0.040 | 0.056 | 0.100 |  0.020 |      0.000 |    528.000 |    549661.000 |    133.122 |
|   5649 |   0 |    827 | 4822 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.060 |  29.084 | 0.005 | 0.012 | 0.016 | 0.028 |  0.006 | 743417.000 | 743417.000 | 614805859.000 | 108834.459 |
|   5649 |   0 |    824 | 4825 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.044 |  27.624 | 0.005 | 0.012 | 0.016 | 0.028 |  0.006 |  26667.000 |  26667.000 |  21973608.000 |   3889.823 |
