+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 132445 |   0 | 132122 |    0 | 323 |   0 | POST   | /api/condition/.{36}         | 0.036 | 0.116 | 834.624 | 0.006 | 0.016 | 0.024 | 0.060 |  0.011 |      0.000 |     14.000 |        70.000 |      0.001 |
|  27177 |   0 |  26958 |    0 | 219 |   0 | GET    | /api/isu/.{36}/icon          | 0.004 | 0.216 | 452.308 | 0.017 | 0.036 | 0.052 | 0.088 |  0.018 |      0.000 | 135259.000 | 689652305.000 |  25376.322 |
|   9793 |   0 |   9293 |    0 | 500 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.288 | 322.148 | 0.033 | 0.076 | 0.096 | 0.148 |  0.031 |      0.000 |   7363.000 |  48214470.000 |   4923.361 |
|   4767 |   0 |   4695 |    0 |  72 |   0 | GET    | /api/isu                     | 0.004 | 0.232 | 152.896 | 0.032 | 0.068 | 0.084 | 0.120 |  0.027 |      0.000 |   4578.000 |  11339955.000 |   2378.845 |
|   3525 |   0 |   3170 |    0 | 355 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.236 | 116.312 | 0.033 | 0.072 | 0.088 | 0.136 |  0.029 |      0.000 |   7927.000 |  15011642.000 |   4258.622 |
|   6370 |   0 |   6370 |    0 |   0 |   0 | GET    | /api/trend                   | 0.004 | 0.480 | 106.432 | 0.017 | 0.036 | 0.048 | 0.088 |  0.018 |   3993.000 |  12551.000 |  63772685.000 |  10011.411 |
|   4467 |   0 |   4253 |    0 | 214 |   0 | GET    | /isu/.{36}                   | 0.012 | 0.192 |  67.348 | 0.015 | 0.036 | 0.048 | 0.084 |  0.018 |      0.000 |    528.000 |    592880.000 |    132.724 |
|   6478 |   0 |    986 | 5492 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.044 |  32.564 | 0.005 | 0.012 | 0.016 | 0.024 |  0.005 | 743417.000 | 743417.000 | 733009162.000 | 113153.622 |
|   7337 |   0 |   1881 | 5456 |   0 |   0 | GET    | /                            | 0.000 | 0.040 |  31.552 | 0.004 | 0.012 | 0.016 | 0.020 |  0.005 |    528.000 |    528.000 |    993168.000 |    135.364 |
|   6478 |   0 |    986 | 5492 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.044 |  31.136 | 0.005 | 0.012 | 0.016 | 0.024 |  0.005 |  26667.000 |  26667.000 |  26293662.000 |   4058.917 |
|   6478 |   0 |    989 | 5489 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.044 |  31.080 | 0.005 | 0.012 | 0.016 | 0.024 |  0.005 |    592.000 |    592.000 |    585488.000 |     90.381 |
|   6479 |   0 |    992 | 5487 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.036 |  30.092 | 0.005 | 0.012 | 0.016 | 0.020 |  0.005 |  19066.000 |  19066.000 |  18913472.000 |   2919.196 |
|   6479 |   0 |    989 | 5490 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.008 | 0.044 |  29.248 | 0.005 | 0.012 | 0.012 | 0.020 |  0.005 |   3285.000 |   3285.000 |   3248865.000 |    501.445 |
|   6373 |   0 |    984 | 5389 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.004 | 0.044 |  28.964 | 0.005 | 0.012 | 0.016 | 0.020 |  0.005 |   3288.000 |   3288.000 |   3235392.000 |    507.672 |
|   1671 |   0 |   1103 |    0 | 568 |   0 | POST   | /api/auth                    | 0.004 | 0.148 |  17.964 | 0.011 | 0.024 | 0.032 | 0.068 |  0.013 |      0.000 |     19.000 |      6532.000 |      3.909 |
|   1827 |   0 |    890 |    0 | 937 |   0 | GET    | /api/user/me                 | 0.000 | 0.120 |  12.248 | 0.007 | 0.016 | 0.024 | 0.048 |  0.010 |     21.000 |     47.000 |     54216.000 |     29.675 |
|    115 |   0 |    111 |    0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.228 |   9.076 | 0.079 | 0.128 | 0.172 | 0.192 |  0.039 |     15.000 |    151.000 |     15437.000 |    134.235 |
|    942 |   0 |    868 |    0 |  74 |   0 | POST   | /api/signout                 | 0.004 | 0.148 |   8.796 | 0.009 | 0.020 | 0.032 | 0.056 |  0.011 |      0.000 |     21.000 |      1533.000 |      1.627 |
|      1 |   0 |      1 |    0 |   0 |   0 | POST   | /initialize                  | 0.264 | 0.264 |   0.264 | 0.264 | 0.264 | 0.264 | 0.264 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|      6 |   0 |      6 |    0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.004 |   0.008 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    528.000 |    528.000 |      3168.000 |    528.000 |
|     18 |   0 |      8 |   10 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |      4224.000 |    234.667 |
|      3 |   0 |      1 |    2 |   0 |   0 | GET    | /register                    | 0.004 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |    528.000 |       528.000 |    176.000 |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
