+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 157452 |   0 | 156884 |    0 | 568 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.108 | 949.032 | 0.006 | 0.012 | 0.024 | 0.068 |  0.012 |      0.000 |     14.000 |       112.000 |      0.001 |
|  27027 |   0 |  26821 |    0 | 206 |   0 | GET    | /api/isu/.{36}/icon          | 0.004 | 0.336 | 509.092 | 0.019 | 0.044 | 0.064 | 0.108 |  0.022 |      0.000 | 135259.000 | 694386301.000 |  25692.319 |
|  10679 |   0 |  10200 |    0 | 479 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.476 | 430.736 | 0.040 | 0.092 | 0.116 | 0.176 |  0.040 |      0.000 |   7363.000 |  53489008.000 |   5008.803 |
|   4761 |   0 |   4689 |    0 |  72 |   0 | GET    | /api/isu                     | 0.004 | 0.340 | 162.912 | 0.034 | 0.072 | 0.092 | 0.140 |  0.030 |      0.000 |   4652.000 |  11124216.000 |   2336.529 |
|   3735 |   0 |   3397 |    0 | 338 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.324 | 141.120 | 0.038 | 0.084 | 0.104 | 0.160 |  0.035 |      0.000 |   8569.000 |  15949338.000 |   4270.238 |
|   6927 |   0 |   6926 |    0 |   1 |   0 | GET    | /api/trend                   | 0.004 | 0.228 |  93.596 | 0.014 | 0.028 | 0.040 | 0.072 |  0.014 |      0.000 |  13575.000 |  70598816.000 |  10191.831 |
|   4560 |   0 |   4357 |    0 | 203 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.308 |  84.212 | 0.018 | 0.044 | 0.064 | 0.112 |  0.024 |      0.000 |    528.000 |    611274.000 |    134.051 |
|   7891 |   0 |   1872 | 6019 |   0 |   0 | GET    | /                            | 0.000 | 0.036 |  25.368 | 0.003 | 0.008 | 0.012 | 0.020 |  0.004 |    528.000 |    528.000 |    988416.000 |    125.259 |
|   1639 |   0 |   1094 |    0 | 545 |   0 | POST   | /api/auth                    | 0.004 | 0.328 |  18.548 | 0.011 | 0.024 | 0.032 | 0.064 |  0.015 |      0.000 |     19.000 |      6256.000 |      3.817 |
|   1823 |   0 |    890 |    0 | 933 |   0 | GET    | /api/user/me                 | 0.000 | 0.132 |  12.892 | 0.007 | 0.016 | 0.024 | 0.052 |  0.011 |     21.000 |     46.000 |     52532.000 |     28.816 |
|    937 |   0 |    867 |    0 |  70 |   0 | POST   | /api/signout                 | 0.036 | 0.132 |   9.944 | 0.011 | 0.024 | 0.036 | 0.080 |  0.015 |      0.000 |     21.000 |      1470.000 |      1.569 |
|    129 |   0 |    125 |    0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.200 |   9.164 | 0.071 | 0.104 | 0.116 | 0.152 |  0.026 |     15.000 |    155.000 |     17358.000 |    134.558 |
|    962 |   0 |    962 |    0 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.000 | 0.026 |   0.413 | 0.000 | 0.000 | 0.002 | 0.015 |  0.002 | 743417.000 | 743417.000 | 715167154.000 | 743417.000 |
|      1 |   0 |      1 |    0 |   0 |   0 | POST   | /initialize                  | 0.292 | 0.292 |   0.292 | 0.292 | 0.292 | 0.292 | 0.292 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|    962 |   0 |    962 |    0 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.018 |   0.036 | 0.000 | 0.000 | 0.000 | 0.000 |  0.001 |    592.000 |    592.000 |    569504.000 |    592.000 |
|    962 |   0 |    962 |    0 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.018 |   0.019 | 0.000 | 0.000 | 0.000 | 0.000 |  0.001 |  19066.000 |  19066.000 |  18341492.000 |  19066.000 |
|     18 |   0 |      6 |   12 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.012 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |      3168.000 |    176.000 |
|    962 |   0 |    962 |    0 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.000 | 0.003 |   0.007 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  26667.000 |  26667.000 |  25653654.000 |  26667.000 |
