+--------+-----+--------+------+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX  | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 143765 |   0 | 143578 |    0 |  187 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.112 | 963.416 | 0.007 | 0.016 | 0.024 | 0.056 |  0.011 |      0.000 |     14.000 |       140.000 |      0.001 |
|  33297 |   0 |  33070 |    0 |  227 |   0 | GET    | /api/isu/.{36}/icon          | 0.008 | 0.392 | 493.108 | 0.015 | 0.036 | 0.044 | 0.072 |  0.016 |      0.000 | 135259.000 | 891100293.000 |  26762.180 |
|  11343 |   0 |  10825 |    0 |  518 |   0 | GET    | /api/condition/.{36}         | 0.056 | 0.412 | 356.504 | 0.031 | 0.072 | 0.088 | 0.132 |  0.030 |      0.000 |   7123.000 |  55336811.000 |   4878.499 |
|   5861 |   0 |   5787 |    0 |   74 |   0 | GET    | /api/isu                     | 0.004 | 0.472 | 149.800 | 0.026 | 0.056 | 0.068 | 0.096 |  0.023 |      0.000 |  10000.000 |  13789284.000 |   2352.719 |
|   4526 |   0 |   4158 |    0 |  368 |   0 | GET    | /api/isu/.{36}/graph         | 0.008 | 0.284 | 149.100 | 0.033 | 0.072 | 0.088 | 0.124 |  0.029 |      0.000 |   7892.000 |  19597171.000 |   4329.910 |
|   5936 |   0 |   5936 |    0 |    0 |   0 | GET    | /api/trend                   | 0.004 | 0.468 |  90.048 | 0.015 | 0.032 | 0.044 | 0.072 |  0.018 |   3993.000 |  12251.000 |  57587838.000 |   9701.455 |
|   5444 |   0 |   5224 |    0 |  220 |   0 | GET    | /isu/.{36}                   | 0.200 | 0.220 |  75.144 | 0.014 | 0.032 | 0.044 | 0.068 |  0.016 |      0.000 |    528.000 |    729103.000 |    133.928 |
|   7024 |   0 |   2113 | 4911 |    0 |   0 | GET    | /                            | 0.000 | 0.044 |  30.124 | 0.004 | 0.012 | 0.016 | 0.024 |  0.005 |    528.000 |    528.000 |   1115664.000 |    158.836 |
|   1813 |   0 |   1229 |    0 |  584 |   0 | POST   | /api/auth                    | 0.004 | 0.096 |  18.096 | 0.010 | 0.024 | 0.028 | 0.048 |  0.010 |      0.000 |     19.000 |      6716.000 |      3.704 |
|   2070 |   0 |   1010 |    0 | 1060 |   0 | GET    | /api/user/me                 | 0.004 | 0.072 |  13.924 | 0.007 | 0.016 | 0.024 | 0.044 |  0.009 |     21.000 |     45.000 |     61183.000 |     29.557 |
|   1064 |   0 |    989 |    0 |   75 |   0 | POST   | /api/signout                 | 0.004 | 0.088 |   9.492 | 0.009 | 0.024 | 0.028 | 0.052 |  0.011 |      0.000 |     21.000 |      1575.000 |      1.480 |
|    111 |   0 |    107 |    0 |    4 |   0 | POST   | /api/isu                     | 0.004 | 0.232 |   7.952 | 0.072 | 0.108 | 0.144 | 0.216 |  0.035 |     15.000 |    155.000 |     14825.000 |    133.559 |
|   1072 |   0 |   1072 |    0 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.000 | 0.036 |   0.428 | 0.000 | 0.000 | 0.002 | 0.013 |  0.002 | 743417.000 | 743417.000 | 796943024.000 | 743417.000 |
|      1 |   0 |      1 |    0 |    0 |   0 | POST   | /initialize                  | 0.288 | 0.288 |   0.288 | 0.288 | 0.288 | 0.288 | 0.288 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|   1072 |   0 |   1072 |    0 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.013 |   0.036 | 0.000 | 0.000 | 0.000 | 0.001 |  0.000 |    592.000 |    592.000 |    634624.000 |    592.000 |
|   1072 |   0 |   1072 |    0 |    0 |   0 | GET    | /assets/index.23dac98b.js    | 0.000 | 0.013 |   0.023 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  26667.000 |  26667.000 |  28587024.000 |  26667.000 |
|   1072 |   0 |   1072 |    0 |    0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.010 |   0.014 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  19066.000 |  19066.000 |  20438752.000 |  19066.000 |
|     30 |   0 |     10 |   20 |    0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 |   0.004 | 0.000 | 0.000 | 0.000 | 0.004 |  0.001 |      0.000 |    528.000 |      5280.000 |    176.000 |
|     10 |   0 |     10 |    0 |    0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.004 |   0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |    528.000 |    528.000 |      5280.000 |    528.000 |
|   1072 |   0 |   1072 |    0 |    0 |   0 | GET    | /assets/logo_white.svg       | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   3285.000 |   3285.000 |   3521520.000 |   3285.000 |
|   1071 |   0 |   1071 |    0 |    0 |   0 | GET    | /assets/logo_orange.svg      | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   3288.000 |   3288.000 |   3521448.000 |   3288.000 |
|      3 |   0 |      1 |    2 |    0 |   0 | GET    | /register                    | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |    528.000 |       528.000 |    176.000 |
+--------+-----+--------+------+------+-----+--------+------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
