+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 150274 |   0 | 149495 |    0 | 779 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.120 | 1328.268 | 0.009 | 0.020 | 0.032 | 0.080 |  0.014 |      0.000 |     14.000 |       210.000 |      0.001 |
|  28067 |   0 |  27877 |    0 | 190 |   0 | GET    | /api/isu/.{36}/icon          | 0.012 | 0.360 |  459.004 | 0.016 | 0.040 | 0.052 | 0.084 |  0.019 |  20376.000 | 135259.000 | 735258540.000 |  26196.549 |
|  10754 |   0 |  10303 |    0 | 451 |   0 | GET    | /api/condition/.{36}         | 0.004 | 0.648 |  396.028 | 0.037 | 0.092 | 0.116 | 0.176 |  0.040 |      0.000 |   7261.000 |  54058215.000 |   5026.801 |
|   4942 |   0 |   4878 |    0 |  64 |   0 | GET    | /api/isu                     | 0.004 | 0.268 |  163.592 | 0.033 | 0.080 | 0.100 | 0.148 |  0.035 |      3.000 |   4704.000 |  11612776.000 |   2349.813 |
|   3806 |   0 |   3479 |    0 | 327 |   0 | GET    | /api/isu/.{36}/graph         | 0.016 | 0.252 |  135.012 | 0.035 | 0.084 | 0.104 | 0.156 |  0.035 |      0.000 |   8099.000 |  16246017.000 |   4268.528 |
|   6578 |   0 |   6578 |    0 |   0 |   0 | GET    | /api/trend                   | 0.004 | 0.288 |  119.232 | 0.018 | 0.044 | 0.056 | 0.096 |  0.021 |   3993.000 |  12983.000 |  65696644.000 |   9987.328 |
|   4684 |   0 |   4492 |    0 | 192 |   0 | GET    | /isu/.{36}                   | 0.004 | 0.332 |   91.448 | 0.020 | 0.048 | 0.068 | 0.116 |  0.025 |     14.000 |    528.000 |    629753.000 |    134.448 |
|   7548 |   0 |   1899 | 5649 |   0 |   0 | GET    | /                            | 0.004 | 0.064 |   42.716 | 0.006 | 0.016 | 0.020 | 0.028 |  0.007 |    528.000 |    528.000 |   1002672.000 |    132.839 |
|   1605 |   0 |   1093 |    0 | 512 |   0 | POST   | /api/auth                    | 0.004 | 0.212 |   20.860 | 0.013 | 0.028 | 0.040 | 0.080 |  0.016 |      0.000 |     19.000 |      5888.000 |      3.669 |
|   1842 |   0 |    901 |    0 | 941 |   0 | GET    | /api/user/me                 | 0.004 | 0.120 |   14.440 | 0.008 | 0.020 | 0.028 | 0.052 |  0.011 |     21.000 |     44.000 |     53947.000 |     29.287 |
|    946 |   0 |    879 |    0 |  67 |   0 | POST   | /api/signout                 | 0.000 | 0.116 |   10.564 | 0.011 | 0.028 | 0.036 | 0.076 |  0.015 |      0.000 |     21.000 |      1386.000 |      1.465 |
|    121 |   0 |    117 |    0 |   4 |   0 | POST   | /api/isu                     | 0.004 | 0.284 |    9.332 | 0.077 | 0.132 | 0.148 | 0.268 |  0.042 |     15.000 |    157.000 |     16259.000 |    134.372 |
|    969 |   0 |    969 |    0 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.000 | 0.027 |    0.599 | 0.001 | 0.001 | 0.003 | 0.014 |  0.002 | 743417.000 | 743417.000 | 720371073.000 | 743417.000 |
|      1 |   0 |      1 |    0 |   0 |   0 | POST   | /initialize                  | 0.312 | 0.312 |    0.312 | 0.312 | 0.312 | 0.312 | 0.312 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|    969 |   0 |    969 |    0 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.000 | 0.015 |    0.043 | 0.000 | 0.000 | 0.000 | 0.001 |  0.001 |  26667.000 |  26667.000 |  25840323.000 |  26667.000 |
|    969 |   0 |    969 |    0 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.000 | 0.008 |    0.040 | 0.000 | 0.000 | 0.000 | 0.002 |  0.000 |    592.000 |    592.000 |    573648.000 |    592.000 |
|     18 |   0 |      7 |   11 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.004 | 0.004 |    0.024 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |    528.000 |      3696.000 |    205.333 |
|    969 |   0 |    969 |    0 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.000 | 0.006 |    0.012 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  19066.000 |  19066.000 |  18474954.000 |  19066.000 |
|      6 |   0 |      6 |    0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.000 | 0.004 |    0.008 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    528.000 |    528.000 |      3168.000 |    528.000 |
|    968 |   0 |    968 |    0 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   3288.000 |   3288.000 |   3182784.000 |   3288.000 |
|    969 |   0 |    969 |    0 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   3285.000 |   3285.000 |   3183165.000 |   3285.000 |
